word,polarity
राम्रो,positive
उत्कृष्ट,positive
मीठो,positive
रमाइलो,positive
सुन्दर,positive
खुसी,positive
भरपर्दो,positive
धन्यवाद,positive
सफल,positive
शानदार,positive
असल,positive
बढिया,positive
प्रशंसनीय,positive
सन्तोषजनक,positive
आकर्षक,positive
स्वादिष्ट,positive
मायालु,positive
दयालु,positive
इमानदार,positive
मेहनती,positive
प्रेरणादायी,positive
आनन्द,positive
प्रसन्न,positive
उत्साह,positive
सराहनीय,positive
गुणस्तरीय,positive
भव्य,positive
स्वच्छ,positive
सजिलो,positive
छिटो,positive
सुविधाजनक,positive
मैत्रीपूर्ण,positive
उपयोगी,positive
नराम्रो,negative
खराब,negative
निराश,negative
दुःखद,negative
फोहोर,negative
ढिलो,negative
बोर,negative
रिस,negative
अशिष्ट,negative
झन्झटिलो,negative
घृणित,negative
कुरूप,negative
बेकार,negative
निकम्मा,negative
महँगो,negative
कमसल,negative
गन्हाउने,negative
असुरक्षित,negative
खतरनाक,negative
दुःखी,negative
पीडादायी,negative
निराशाजनक,negative
अपमानजनक,negative
रुखो,negative
बेइमान,negative
अल्छी,negative
झुटो,negative
धोका,negative
समस्या,negative
गल्ती,negative
बिग्रेको,negative
फोहोरी,negative
अव्यवस्थित,negative
