text,label
"यो चलचित्र साह्रै राम्रो लाग्यो।",सकारात्मक
"उनको प्रस्तुति उत्कृष्ट थियो।",सकारात्मक
"आजको दिन एकदमै रमाइलो भयो।",सकारात्मक
"खानाको स्वाद निकै मीठो थियो।",सकारात्मक
"सेवा छिटो र भरपर्दो छ।",सकारात्मक
"म यो उत्पादनबाट धेरै खुसी छु।",सकारात्मक
"टोलीले उत्कृष्ट खेल देखायो।",सकारात्मक
"यो ठाउँ साह्रै सुन्दर छ।",सकारात्मक
"सबै कुरा राम्रोसँग सम्पन्न भयो।",सकारात्मक
"उनको सहयोग अति उत्कृष्ट रह्यो।",सकारात्मक
"नयाँ फोन धेरै राम्रो र छिटो छ।",सकारात्मक
"यो किताब पढेर मलाई खुसी लाग्यो।",सकारात्मक
"यो सेवा एकदमै नराम्रो थियो।",नकारात्मक
"खानाको गुणस्तर निकै खराब लाग्यो।",नकारात्मक
"म यो निर्णयबाट निराश भएँ।",नकारात्मक
"उत्पादन छिट्टै बिग्रियो पैसा खेर गयो।",नकारात्मक
"आजको दिन साह्रै दुःखद रह्यो।",नकारात्मक
"सेवा ढिलो र झन्झटिलो छ।",नकारात्मक
"यो ठाउँ फोहोर र अव्यवस्थित छ।",नकारात्मक
"उनको व्यवहार अशिष्ट थियो।",नकारात्मक
"फिल्म बोर लाग्यो समय खेर गयो।",नकारात्मक
"गुनासो सुनुवाइ भएन धेरै रिस उठ्यो।",नकारात्मक
"यो होटलको कोठा गन्हाउने र फोहोर थियो।",नकारात्मक
"सामान बिग्रेको अवस्थामा आयो निकै खराब।",नकारात्मक
"बैठक बिहान दश बजे सुरु हुनेछ।",तटस्थ
"उनी काठमाडौंमा बस्छन्।",तटस्थ
"यो पुस्तकमा बाह्र अध्याय छन्।",तटस्थ
"रेल स्टेसन घरबाट नजिकै छ।",तटस्थ
"आज आकाश सफा छ।",तटस्थ
"कार्यालय पाँच बजे बन्द हुन्छ।",तटस्थ
"उनले नयाँ कलम किने।",तटस्थ
"यो बाटो बजारसम्म पुग्छ।",तटस्थ
"कार्यक्रम अर्को हप्ता तय भएको छ।",तटस्थ
"उनीहरू विद्यालय जान्छन्।",तटस्थ
"यो सहरमा तीन वटा अस्पताल छन्।",तटस्थ
"बस बिहान सात बजे छुट्छ।",तटस्थ
