text,label
प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
आज प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
हिजो प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
यस साता प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
भर्खरै प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
यस वर्ष प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।,राजनीति
"समाचारअनुसार, प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।",राजनीति
"प्राप्त जानकारीअनुसार, प्रधानमन्त्रीले संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।",राजनीति
मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
आज मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
हिजो मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
यस साता मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
भर्खरै मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
यस वर्ष मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।,राजनीति
"समाचारअनुसार, मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।",राजनीति
"प्राप्त जानकारीअनुसार, मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।",राजनीति
निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
आज निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
हिजो निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
यस साता निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
भर्खरै निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
यस वर्ष निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।,राजनीति
"समाचारअनुसार, निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।",राजनीति
"प्राप्त जानकारीअनुसार, निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।",राजनीति
प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
आज प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
हिजो प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
यस साता प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
भर्खरै प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
यस वर्ष प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।,राजनीति
"समाचारअनुसार, प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।",राजनीति
"प्राप्त जानकारीअनुसार, प्रतिपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।",राजनीति
सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
आज सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
हिजो सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
यस साता सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
भर्खरै सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
यस वर्ष सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।,राजनीति
"समाचारअनुसार, सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।",राजनीति
"प्राप्त जानकारीअनुसार, सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।",राजनीति
राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
आज राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
हिजो राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
यस साता राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
भर्खरै राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
यस वर्ष राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।,राजनीति
"समाचारअनुसार, राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।",राजनीति
"प्राप्त जानकारीअनुसार, राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।",राजनीति
सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
आज सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
हिजो सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
यस साता सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
भर्खरै सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
यस वर्ष सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।,राजनीति
"समाचारअनुसार, सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।",राजनीति
"प्राप्त जानकारीअनुसार, सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।",राजनीति
गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
आज गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
हिजो गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
यस साता गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
भर्खरै गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
यस वर्ष गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।,राजनीति
"समाचारअनुसार, गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।",राजनीति
"प्राप्त जानकारीअनुसार, गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।",राजनीति
प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
आज प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
हिजो प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
यस साता प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
भर्खरै प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
यस वर्ष प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।,राजनीति
"समाचारअनुसार, प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।",राजनीति
"प्राप्त जानकारीअनुसार, प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।",राजनीति
संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
आज संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
हिजो संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
यस साता संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
भर्खरै संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
यस वर्ष संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।,राजनीति
"समाचारअनुसार, संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।",राजनीति
"प्राप्त जानकारीअनुसार, संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी रह्यो।",राजनीति
प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
आज प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
हिजो प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
यस साता प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
भर्खरै प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
यस वर्ष प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।,राजनीति
"समाचारअनुसार, प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।",राजनीति
"प्राप्त जानकारीअनुसार, प्रधानमन्त्री र प्रतिपक्षी नेताबीच शीर्ष भेटवार्ता भयो।",राजनीति
मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
आज मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
हिजो मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
यस साता मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
भर्खरै मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
यस वर्ष मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।,राजनीति
"समाचारअनुसार, मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।",राजनीति
"प्राप्त जानकारीअनुसार, मन्त्रीले नयाँ कानुन कार्यान्वयन गर्ने प्रतिबद्धता जनाए।",राजनीति
सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
आज सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
हिजो सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
यस साता सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
भर्खरै सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
यस वर्ष सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।,राजनीति
"समाचारअनुसार, सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।",राजनीति
"प्राप्त जानकारीअनुसार, सरकारले राजदूत नियुक्तिको सिफारिस अनुमोदन गर्‍यो।",राजनीति
दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
आज दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
हिजो दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
यस साता दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
भर्खरै दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
यस वर्ष दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।,राजनीति
"समाचारअनुसार, दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।",राजनीति
"प्राप्त जानकारीअनुसार, दलका कार्यकर्ताले राजधानीमा शान्तिपूर्ण प्रदर्शन गरे।",राजनीति
नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
आज नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
हिजो नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
यस साता नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
भर्खरै नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
यस वर्ष नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।,खेलकुद
"समाचारअनुसार, नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।",खेलकुद
"प्राप्त जानकारीअनुसार, नेपाली क्रिकेट टोलीले प्रतिद्वन्द्वीलाई हराउँदै खेल जित्यो।",खेलकुद
फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
आज फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
हिजो फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
यस साता फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
भर्खरै फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
यस वर्ष फुटबल खेलमा घरेलु टोली विजयी भयो।,खेलकुद
"समाचारअनुसार, फुटबल खेलमा घरेलु टोली विजयी भयो।",खेलकुद
"प्राप्त जानकारीअनुसार, फुटबल खेलमा घरेलु टोली विजयी भयो।",खेलकुद
खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
आज खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
हिजो खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
यस साता खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
भर्खरै खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
यस वर्ष खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।,खेलकुद
"समाचारअनुसार, खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।",खेलकुद
"प्राप्त जानकारीअनुसार, खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।",खेलकुद
विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
आज विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
हिजो विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
यस साता विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
भर्खरै विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
यस वर्ष विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।,खेलकुद
"समाचारअनुसार, विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।",खेलकुद
"प्राप्त जानकारीअनुसार, विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।",खेलकुद
कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
आज कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
हिजो कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
यस साता कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
भर्खरै कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
यस वर्ष कप्तानले टस जितेर पहिले ब्याटिङ रोजे।,खेलकुद
"समाचारअनुसार, कप्तानले टस जितेर पहिले ब्याटिङ रोजे।",खेलकुद
"प्राप्त जानकारीअनुसार, कप्तानले टस जितेर पहिले ब्याटिङ रोजे।",खेलकुद
भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
आज भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
हिजो भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
यस साता भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
भर्खरै भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
यस वर्ष भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।,खेलकुद
"समाचारअनुसार, भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।",खेलकुद
"प्राप्त जानकारीअनुसार, भलिबल प्रतियोगिताको फाइनलमा दुई टोली भिड्नेछन्।",खेलकुद
खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
आज खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
हिजो खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
यस साता खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
भर्खरै खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
यस वर्ष खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।,खेलकुद
"समाचारअनुसार, खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।",खेलकुद
"प्राप्त जानकारीअनुसार, खेलाडीहरूले रंगशालामा कडा अभ्यास गरे।",खेलकुद
नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
आज नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
हिजो नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
यस साता नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
भर्खरै नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
यस वर्ष नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।,खेलकुद
"समाचारअनुसार, नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।",खेलकुद
"प्राप्त जानकारीअनुसार, नेपाली टोली सेमिफाइनलमा प्रवेश गर्‍यो।",खेलकुद
ओलम्पिकमा नेपालका खेलाडीले सहभागिता जनाए।,खेलकुद
आज ओलम्पिकमा नेपालका खेलाडीले सहभागिता जनाए।,खेलकुद
हिजो ओलम्पिकमा नेपालका खेलाडीले सहभागिता जनाए।,खेलकुद
यस साता ओलम्पिकमा नेपालका खेलाडीले सहभागिता जनाए।,खेलकुद
