text,label
"प्रधानमन्त्रीले आज संसदमा नीति तथा कार्यक्रम प्रस्तुत गरे।",राजनीति
"सत्तारूढ दल र प्रतिपक्षबीच बजेटमाथि तीव्र बहस भयो।",राजनीति
"निर्वाचन आयोगले स्थानीय तह निर्वाचनको मिति घोषणा गर्‍यो।",राजनीति
"मन्त्रिपरिषद् बैठकले नयाँ अध्यादेश पारित गर्‍यो।",राजनीति
"विपक्षी दलले सरकारविरुद्ध अविश्वासको प्रस्ताव दर्ता गरायो।",राजनीति
"राष्ट्रपतिले नयाँ सरकार गठनका लागि आह्वान गर्नुभयो।",राजनीति
"संविधान संशोधनको विषयमा दलहरूबीच छलफल जारी छ।",राजनीति
"सांसदहरूले संसदमा भ्रष्टाचारविरुद्ध आवाज उठाए।",राजनीति
"गृहमन्त्रीले देशको सुरक्षा अवस्थाबारे जानकारी दिए।",राजनीति
"प्रमुख दलहरूले चुनावी गठबन्धनको घोषणा गरे।",राजनीति
"नेपाली क्रिकेट टोलीले शानदार जित हासिल गर्‍यो।",खेलकुद
"फुटबल खेलमा घरेलु टोली विजयी भयो।",खेलकुद
"खेलाडीले म्याराथनमा नयाँ राष्ट्रिय कीर्तिमान बनाए।",खेलकुद
"विश्वकपका लागि राष्ट्रिय टोली घोषणा भयो।",खेलकुद
"ओलम्पिकमा नेपालले पदक जित्ने आशा गरेको छ।",खेलकुद
"कप्तानले टस जितेर पहिले ब्याटिङ रोजे।",खेलकुद
"भलिबल प्रतियोगिताको फाइनल भोलि हुनेछ।",खेलकुद
"खेलाडीहरूको अभ्यास दशरथ रंगशालामा जारी छ।",खेलकुद
"दर्शकहरूले खेलाडीलाई उत्साहका साथ स्वागत गरे।",खेलकुद
"नेपाली टोलीले सेमिफाइनलमा प्रवेश गर्‍यो।",खेलकुद
"नयाँ स्मार्टफोनमा उन्नत क्यामेरा र ब्याट्री रहेको छ।",प्रविधि
"कृत्रिम बुद्धिमत्ताले उद्योगमा ठूलो परिवर्तन ल्याएको छ।",प्रविधि
"कम्पनीले नयाँ सफ्टवेयर बजारमा ल्यायो।",प्रविधि
"इन्टरनेटको गति बढ्दा प्रयोगकर्ता खुसी भए।",प्रविधि
"वैज्ञानिकहरूले नयाँ प्रविधि विकास गरे।",प्रविधि
"मोबाइल एपले दैनिक जीवन सहज बनाएको छ।",प्रविधि
"डिजिटल भुक्तानी प्रणाली लोकप्रिय हुँदै गएको छ।",प्रविधि
"साइबर सुरक्षामा ध्यान दिन विज्ञले सुझाव दिए।",प्रविधि
"नयाँ ल्यापटप हल्का र छिटो भएको दाबी गरियो।",प्रविधि
"अनलाइन कक्षाले शिक्षामा नयाँ अवसर सिर्जना गर्‍यो।",प्रविधि
"बजारमा सुनको मूल्य बढेको छ।",अर्थतन्त्र
"बैंकले ब्याजदर घटाउने निर्णय गर्‍यो।",अर्थतन्त्र
"निर्यात बढ्दा व्यापार घाटा केही कम भयो।",अर्थतन्त्र
"शेयर बजारमा लगानीकर्ता उत्साहित छन्।",अर्थतन्त्र
"मुद्रास्फीति बढ्दा उपभोक्ता चिन्तित भए।",अर्थतन्त्र
"सरकारले नयाँ आर्थिक नीति सार्वजनिक गर्‍यो।",अर्थतन्त्र
"पर्यटन क्षेत्रले अर्थतन्त्रमा ठूलो योगदान दियो।",अर्थतन्त्र
"रेमिट्यान्स आप्रवाह उल्लेखनीय रूपमा बढ्यो।",अर्थतन्त्र
"कृषि उत्पादनले किसानको आम्दानी बढायो।",अर्थतन्त्र
"उद्योगीहरूले लगानीको वातावरण सुधारको माग गरे।",अर्थतन्त्र
"नयाँ नेपाली चलचित्र यही साता प्रदर्शन हुँदैछ।",मनोरञ्जन
"गायकको नयाँ गीत दर्शकमाझ लोकप्रिय भयो।",मनोरञ्जन
"कलाकारले पुरस्कार जितेर खुसी व्यक्त गरे।",मनोरञ्जन
"टेलिभिजन कार्यक्रमले राम्रो प्रतिक्रिया पायो।",मनोरञ्जन
"संगीत महोत्सवमा हजारौं दर्शक जुटे।",मनोरञ्जन
"फिल्मको ट्रेलर सामाजिक सञ्जालमा भाइरल भयो।",मनोरञ्जन
"निर्देशकले नयाँ परियोजनाको घोषणा गरे।",मनोरञ्जन
"नाटकको मञ्चनले दर्शकको मन जित्यो।",मनोरञ्जन
"अभिनेत्रीले आफ्नो नयाँ भूमिकाबारे कुरा गरिन्।",मनोरञ्जन
"लोकप्रिय शृंखलाको नयाँ सिजन सुरु भयो।",मनोरञ्जन
